experiment,sample_id,task_name,task_group,model_name,context_length,window_size,condition,memory_type,write_type,score,sum_logprob,metric_name,prediction,target,is_correct,delta_vs_none,margin,choice_scores,extra_notes,retention
exp2,persistent_0021,constraint_continuation,persistent,GMswa-40B-stage1,2458,,original,none,no_write,-4.382352941176471,-74.5,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.029411764705882002,,,,
exp2,persistent_0021,constraint_continuation,persistent,GMswa-40B-stage1,2449,,summary_only,none,no_write,-4.411764705882353,-75.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.0,,,,
exp2,persistent_0021,constraint_continuation,persistent,GMswa-40B-stage1,2435,,memory_only,none,no_write,-4.411764705882353,-75.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.0,,,,
exp2,persistent_0021,constraint_continuation,persistent,GMswa-40B-stage1,2375,,none,none,no_write,-4.411764705882353,-75.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.0,,,,
exp2,persistent_0022,story_state_recovery,persistent,GMswa-40B-stage1,2459,,original,none,no_write,-5.666666666666667,-68.0,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.291666666666666,,,,
exp2,persistent_0022,story_state_recovery,persistent,GMswa-40B-stage1,2428,,summary_only,none,no_write,-5.958333333333333,-71.5,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.0,,,,
exp2,persistent_0022,story_state_recovery,persistent,GMswa-40B-stage1,2417,,memory_only,none,no_write,-5.958333333333333,-71.5,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.0,,,,
exp2,persistent_0022,story_state_recovery,persistent,GMswa-40B-stage1,2368,,none,none,no_write,-5.958333333333333,-71.5,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.0,,,,
exp2,persistent_0021,constraint_continuation,persistent,swa-40B-stage1,2458,,original,none,no_write,-4.352941176470588,-74.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.058823529411765,,,,
exp2,persistent_0021,constraint_continuation,persistent,swa-40B-stage1,2449,,summary_only,none,no_write,-4.411764705882353,-75.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.0,,,,
exp2,persistent_0021,constraint_continuation,persistent,swa-40B-stage1,2435,,memory_only,none,no_write,-4.411764705882353,-75.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.0,,,,
exp2,persistent_0021,constraint_continuation,persistent,swa-40B-stage1,2375,,none,none,no_write,-4.411764705882353,-75.0,mean_logprob_target,, A train option under 150 dollars would fit the user's needs.,,0.0,,,,
exp2,persistent_0022,story_state_recovery,persistent,swa-40B-stage1,2459,,original,none,no_write,-5.625,-67.5,mean_logprob_target,, Mina walks through the north gate without needing another key.,,-0.08333333333333301,,,,
exp2,persistent_0022,story_state_recovery,persistent,swa-40B-stage1,2428,,summary_only,none,no_write,-5.5,-66.0,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.041666666666666005,,,,
exp2,persistent_0022,story_state_recovery,persistent,swa-40B-stage1,2417,,memory_only,none,no_write,-5.541666666666667,-66.5,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.0,,,,
exp2,persistent_0022,story_state_recovery,persistent,swa-40B-stage1,2368,,none,none,no_write,-5.541666666666667,-66.5,mean_logprob_target,, Mina walks through the north gate without needing another key.,,0.0,,,,
